time,generation,consumption
2018-01-01 00:00:00,0.01,0.89
2018-01-01 01:00:00,0.73,0.89
2018-01-01 02:00:00,0.01,0.56
2018-01-01 03:00:00,0.01,0.62
2018-01-01 04:00:00,0.01,0.45
2018-01-01 05:00:00,0.01,0.49
2018-01-01 06:00:00,0.01,0.61
2018-01-01 07:00:00,0.01,1.03
2018-01-01 08:00:00,0.34,1.31
2018-01-01 09:00:00,1.3,0.58
2018-01-01 10:00:00,1.56,0.49
2018-01-01 11:00:00,1.99,0.79
2018-01-01 12:00:00,1.84,0.69
2018-01-01 13:00:00,1.27,0.39
2018-01-01 14:00:00,1.14,0.55
2018-01-01 15:00:00,0.63,1.13
2018-01-01 16:00:00,0.45,1.31
2018-01-01 17:00:00,0.01,0.8
2018-01-01 18:00:00,0.01,0.89
2018-01-01 19:00:00,0.01,0.89
2018-01-01 20:00:00,0.01,0.89
2018-01-01 21:00:00,0.0,0.89
2018-01-01 22:00:00,0.0,0.89
2018-01-01 23:00:00,0.01,0.89
2018-01-02 00:00:00,0.01,0.43
2018-01-02 01:00:00,0.01,0.61
2018-01-02 02:00:00,0.01,0.4
2018-01-02 03:00:00,0.01,0.41
2018-01-02 04:00:00,0.01,0.46
2018-01-02 05:00:00,0.01,0.48
2018-01-02 06:00:00,0.01,0.42
2018-01-02 07:00:00,0.0,0.58
2018-01-02 08:00:00,0.1,0.98
2018-01-02 09:00:00,0.47,0.95
2018-01-02 10:00:00,0.78,1.32
2018-01-02 11:00:00,0.97,1.22
2018-01-02 12:00:00,1.01,0.75
2018-01-02 13:00:00,0.81,0.66
2018-01-02 14:00:00,0.53,0.55
2018-01-02 15:00:00,0.25,0.88
2018-01-02 16:00:00,0.04,1.41
2018-01-02 17:00:00,0.03,0.99
2018-01-02 18:00:00,0.0,0.63
2018-01-02 19:00:00,0.0,0.71
2018-01-02 20:00:00,0.01,0.96
2018-01-02 21:00:00,0.01,0.85
2018-01-02 22:00:00,0.01,0.77
2018-01-02 23:00:00,0.01,0.49
2018-01-03 00:00:00,0.01,0.72
2018-01-03 01:00:00,0.01,0.44
2018-01-03 02:00:00,0.01,0.43
2018-01-03 03:00:00,0.01,0.63
2018-01-03 04:00:00,0.01,0.46
2018-01-03 05:00:00,0.0,0.58
2018-01-03 06:00:00,0.0,0.44
2018-01-03 07:00:00,0.07,0.74
2018-01-03 08:00:00,0.88,0.74
2018-01-03 09:00:00,1.66,0.56
2018-01-03 10:00:00,2.63,0.62
2018-01-03 11:00:00,3.3,0.69
2018-01-03 12:00:00,3.86,0.49
2018-01-03 13:00:00,4.08,0.38
2018-01-03 14:00:00,3.78,0.34
2018-01-03 15:00:00,2.98,0.22
2018-01-03 16:00:00,1.7,0.3
2018-01-03 17:00:00,0.23,0.58
2018-01-03 18:00:00,0.0,0.62
2018-01-03 19:00:00,0.0,0.5
2018-01-03 20:00:00,0.0,0.72
2018-01-03 21:00:00,0.0,0.58
2018-01-03 22:00:00,0.0,0.49
2018-01-03 23:00:00,0.0,0.2
2018-01-04 00:00:00,0.0,0.18
2018-01-04 01:00:00,0.0,0.25
2018-01-04 02:00:00,0.0,0.4
2018-01-04 03:00:00,0.0,0.43
2018-01-04 04:00:00,0.0,0.54
2018-01-04 05:00:00,0.0,0.42
2018-01-04 06:00:00,0.0,0.42
2018-01-04 07:00:00,0.07,0.86
2018-01-04 08:00:00,0.78,1.32
2018-01-04 09:00:00,1.83,0.66
2018-01-04 10:00:00,2.72,0.24
2018-01-04 11:00:00,3.55,0.24
2018-01-04 12:00:00,2.96,0.31
2018-01-04 13:00:00,3.4,0.48
2018-01-04 14:00:00,2.39,0.31
2018-01-04 15:00:00,1.01,0.39
2018-01-04 16:00:00,0.34,0.34
2018-01-04 17:00:00,0.0,0.57
2018-01-04 18:00:00,0.0,0.63
2018-01-04 19:00:00,0.0,0.5
2018-01-04 20:00:00,0.0,0.47
2018-01-04 21:00:00,0.0,0.67
2018-01-04 22:00:00,0.0,0.69
2018-01-04 23:00:00,0.0,0.32
2018-01-05 00:00:00,0.0,0.19
2018-01-05 01:00:00,0.0,0.19
2018-01-05 02:00:00,0.0,0.17
2018-01-05 03:00:00,0.0,0.18
2018-01-05 04:00:00,0.0,0.33
2018-01-05 05:00:00,0.0,0.36
2018-01-05 06:00:00,0.0,0.39
2018-01-05 07:00:00,0.03,0.94
2018-01-05 08:00:00,0.26,0.85
2018-01-05 09:00:00,0.68,0.39
2018-01-05 10:00:00,1.41,0.34
2018-01-05 11:00:00,3.62,0.26
2018-01-05 12:00:00,3.98,0.18
2018-01-05 13:00:00,4.05,0.2
2018-01-05 14:00:00,3.75,0.18
2018-01-05 15:00:00,2.96,0.2
2018-01-05 16:00:00,1.66,0.19
2018-01-05 17:00:00,0.22,0.42
2018-01-05 18:00:00,0.01,0.33
2018-01-05 19:00:00,0.0,0.31
2018-01-05 20:00:00,0.0,0.56
2018-01-05 21:00:00,0.0,0.67
2018-01-05 22:00:00,0.0,0.58
2018-01-05 23:00:00,0.0,0.24
2018-01-06 00:00:00,0.0,0.2
2018-01-06 01:00:00,0.0,0.19
2018-01-06 02:00:00,0.0,0.21
2018-01-06 03:00:00,0.0,0.28
2018-01-06 04:00:00,0.0,0.36
2018-01-06 05:00:00,0.0,0.56
2018-01-06 06:00:00,0.0,0.38
2018-01-06 07:00:00,0.0,0.37
2018-01-06 08:00:00,0.21,0.9
2018-01-06 09:00:00,0.62,0.71
2018-01-06 10:00:00,1.54,0.6
2018-01-06 11:00:00,3.38,0.38
2018-01-06 12:00:00,3.83,0.27
2018-01-06 13:00:00,1.92,0.19
2018-01-06 14:00:00,0.94,0.31
2018-01-06 15:00:00,0.78,0.62
2018-01-06 16:00:00,0.42,0.66
2018-01-06 17:00:00,0.04,0.41
2018-01-06 18:00:00,0.01,0.24
2018-01-06 19:00:00,0.0,0.63
2018-01-06 20:00:00,0.0,0.42
2018-01-06 21:00:00,0.0,0.45
2018-01-06 22:00:00,0.0,0.39
2018-01-06 23:00:00,0.0,0.23
2018-01-07 00:00:00,0.0,0.23
2018-01-07 01:00:00,0.0,0.21
2018-01-07 02:00:00,0.0,0.21
2018-01-07 03:00:00,0.0,0.24
2018-01-07 04:00:00,0.0,0.22
2018-01-07 05:00:00,0.0,0.24
2018-01-07 06:00:00,0.0,0.27
2018-01-07 07:00:00,0.0,0.75
2018-01-07 08:00:00,0.11,1.31
